date,time,open,high,low,close,volume
09/01/2013,17:00:00.083,1640.25,1640.25,1640.25,1640.25,55.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,52.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,50.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,50.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,67.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,50.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,50.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,155.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,57.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,50.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,50.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,66.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,68.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,54.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,73.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,114.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,127.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,107.0
09/01/2013,17:00:00.101,1640.25,1640.25,1640.25,1640.25,108.0
09/01/2013,17:00:00.135,1640.25,1640.25,1640.0,1640.0,50.0
09/01/2013,17:00:00.202,1640.25,1640.0,1639.5,1639.5,50.0
09/01/2013,17:00:00.235,1640.25,1640.0,1639.5,1640.0,50.0
09/01/2013,17:00:00.235,1640.25,1640.5,1640.0,1640.5,52.0
09/01/2013,17:00:00.302,1640.25,1640.5,1640.0,1640.5,71.0
09/01/2013,17:00:00.368,1640.25,1640.75,1639.25,1639.25,50.0
09/01/2013,17:00:00.473,1640.25,1640.75,1639.25,1640.75,88.0
09/01/2013,17:00:01.474,1640.25,1640.75,1639.25,1640.75,54.0
09/01/2013,17:00:01.621,1640.25,1641.0,1640.75,1641.0,50.0
09/01/2013,17:00:01.730,1640.25,1641.0,1639.75,1639.75,51.0
09/01/2013,17:00:02.730,1640.25,1640.75,1639.75,1640.75,51.0
09/01/2013,17:00:03.756,1640.25,1640.75,1640.25,1640.25,85.0
09/01/2013,17:00:04.011,1640.25,1640.0,1639.75,1640.0,52.0
09/01/2013,17:00:04.605,1640.25,1640.0,1639.75,1640.0,50.0
09/01/2013,17:00:05.804,1640.25,1640.0,1639.5,1639.75,59.0
09/01/2013,17:00:05.804,1640.25,1640.0,1639.75,1640.0,174.0
09/01/2013,17:00:06.627,1640.25,1640.0,1639.5,1639.75,50.0
09/01/2013,17:00:06.695,1640.25,1640.0,1640.0,1640.0,51.0
09/01/2013,17:00:07.883,1640.25,1640.0,1639.75,1640.0,69.0
09/01/2013,17:00:08.315,1640.25,1640.0,1639.75,1640.0,51.0
09/01/2013,17:00:09.715,1640.25,1640.25,1640.0,1640.25,95.0
09/01/2013,17:00:11.609,1640.25,1640.5,1639.5,1639.5,50.0
09/01/2013,17:00:14.000,1640.25,1639.75,1639.5,1639.75,50.0
09/01/2013,17:00:17.374,1640.25,1639.75,1639.5,1639.5,50.0
09/01/2013,17:00:21.732,1640.25,1639.75,1639.5,1639.5,68.0
09/01/2013,17:00:24.415,1640.25,1639.5,1639.25,1639.25,51.0
09/01/2013,17:00:25.204,1640.25,1639.5,1639.25,1639.5,52.0
09/01/2013,17:00:25.204,1640.25,1639.5,1639.5,1639.5,61.0
